Título,Gênero,Desenvolvedora,Publicadora,Data de Lançamento[b],Data de Lançamento[b],Data de Lançamento[b],Data de Lançamento[b],Ref
Título,Gênero,Desenvolvedora,Publicadora,JP,AN,EU,BR,Ref
The Ascent,RPG de ação,Neon Giant,Curve Digital,29 de julho de 2021,29 de julho de 2021,29 de julho de 2021,29 de julho de 2021,[3]
As Dusk Falls,Aventura,Interior/Night,Xbox Game Studios,19 de julho de 2022,19 de julho de 2022,19 de julho de 2022,19 de julho de 2022,Nao Encontrado
Assassin's Creed Valhalla,Ação e aventura,Ubisoft Montreal,Ubisoft,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020,Nao Encontrado
Avowed,RPG de ação,Obsidian Entertainment,Xbox Game Studios,TBA,TBA,TBA,TBA,Nao Encontrado
Balan Wonderworld,Ação e aventura,Balan Company,Square Enix,26 de março de 2021,26 de março de 2021,26 de março de 2021,26 de março de 2021,Nao Encontrado
Bright Memory Infinite,Tiro em primeira pessoa,FYQD Studio,Playism,21 de julho de 2022,21 de julho de 2022,21 de julho de 2022,21 de julho de 2022,[3]
Call of the Sea,Aventura e quebra-cabeça,Out of the Blue,Raw Fury Games,8 de dezembro de 2020,8 de dezembro de 2020,8 de dezembro de 2020,8 de dezembro de 2020,[3]
Chorus,Combate espacial,Fishlabs,Deep Silver,3 de dezembro de 2021,3 de dezembro de 2021,3 de dezembro de 2021,3 de dezembro de 2021,[3]
Control,Ação e aventuraTiro em terceira pessoa,Remedy Entertainment,505 Games,2 de fevereiro de 2021,2 de fevereiro de 2021,2 de fevereiro de 2021,2 de fevereiro de 2021,Nao Encontrado
Crossfire X,Tiro em primeira pessoa,"Remedy Entertainment, Smilegate",Xbox Game Studios,10 de fevereiro de 2022,10 de fevereiro de 2022,10 de fevereiro de 2022,10 de fevereiro de 2022,Nao Encontrado
Cyberpunk 2077,RPG de ação,CD Projekt Red,CD Projekt,15 de fevereiro de 2022,15 de fevereiro de 2022,15 de fevereiro de 2022,15 de fevereiro de 2022,Nao Encontrado
Destiny 2,Tiro em primeira pessoa,Bungie,Bungie,8 de dezembro de 2020,8 de dezembro de 2020,8 de dezembro de 2020,8 de dezembro de 2020,Nao Encontrado
DIRT 5,Corrida,Codemasters,Codemasters,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020,10 de novembro de 2020,[3]
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,RPG de ação,Square Enix,Square Enix,4 de dezembro de 2020,4 de dezembro de 2020,4 de dezembro de 2020,—,[4]
Dragon's Dogma 2,RPG de ação,Capcom,Capcom,22 de março de 2024,22 de março de 2024,22 de março de 2024,22 de março de 2024,Nao Encontrado
Dying Light 2,RPG de açãoSurvival horror,Techland,Techland Publishing,4 de fevereiro de 2022,4 de fevereiro de 2022,4 de fevereiro de 2022,4 de fevereiro de 2022,Nao Encontrado
Echo Generation,RPG baseado em turnos,Cococucumber,Cococucumber,TBA,TBA,TBA,TBA,Nao Encontrado
Everwild,TBA,Rare,Xbox Game Studios,TBA,TBA,TBA,TBA,Nao Encontrado
